mode,trades,winrate,total_pnl,profit_factor,score,max_dd,tpd,proj_month,cfg__symbol,cfg__market_symbol,cfg__days,cfg__poll_seconds,cfg__status_heartbeat_seconds,cfg__tf_signal,cfg__tf_confirm,cfg__tf_entry,cfg__tf_trend,cfg__live_chart_tf,cfg__mode,cfg__signal_engine,cfg__use_1h_trend_filter,cfg__feature_prob__ret_1_weight,cfg__feature_prob__ret_3_weight,cfg__feature_prob__ret_12_weight,cfg__feature_prob__range_pos_weight,cfg__feature_prob__vol_ratio_weight,cfg__feature_prob__realized_vol_weight,cfg__feature_prob__slope_weight,cfg__feature_prob__trend_weight,cfg__feature_prob__breakout_weight,cfg__feature_prob__long_threshold,cfg__feature_prob__short_threshold,cfg__feature_prob__persistence_bars,cfg__risk_engine__sl_vol_mult,cfg__risk_engine__tp_vol_mult,cfg__risk_engine__breakeven_R,cfg__risk_engine__trail_start_R,cfg__risk_engine__trail_vol_mult,cfg__risk_engine__risk_per_trade_pct,cfg__risk_engine__max_hold_minutes,cfg__risk_engine__cooldown_minutes,cfg__execution__fees_enabled,cfg__execution__fee_rate_roundtrip,cfg__execution__slippage_roundtrip_pct,cfg__execution__label_exits,cfg__legacy__ema_fast_trend,cfg__legacy__ema_slow_trend,cfg__legacy__ema_fast_signal,cfg__legacy__ema_slow_signal,cfg__legacy__donchian_window_signal,cfg__legacy__rsi_len_signal,cfg__legacy__rsi_long,cfg__legacy__rsi_short,cfg__legacy__atr_len_signal,cfg__legacy__atr_ma_window_signal,cfg__legacy__atr_min_mult,cfg__legacy__breakout_buffer_atr,cfg__legacy__sl_atr_mult,cfg__legacy__tp_atr_mult,cfg__legacy__breakeven_R,cfg__legacy__trail_start_R,cfg__legacy__trail_atr_mult
feature_prob,1,0.0,-0.36313010786489397,0.0,-3682.679609279475,0.0,1440.0,-15687.22065976342,BTC/USDT:USDT,BTCUSDT,60,10,60,5m,5m,3m,15m,5m,feature_prob,feature_prob,True,0.1756408821072696,0.2719666876032598,0.06695103811511902,0.1170420185276122,0.02685336047075618,0.07028673420482878,0.16149948066894143,0.048226150601997725,0.06573265965792915,0.6534780431781094,0.6335388813146112,2,1.5636553786825511,2.540581903745717,2.2778105453479878,3.2764221013893016,0.8193186327537803,0.4803529583381523,344,94,True,0.001,0.0001,True,50,200,50,200,96,14,58.0,42.0,14,96,1.25,0.55,1.1,3.2,1.0,1.5,1.0
feature_prob,1,0.0,-0.23398014010811846,0.0,-3013.0370264605945,0.0,1440.0,-10107.942052670718,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,1m,1m,1h,5m,feature_prob,feature_prob,False,0.21492370425991575,0.1969687681553917,0.2902097647150578,0.18783831093957812,0.14333246103458117,0.24381662571525525,0.12598962561833896,0.2111325956947004,0.21076307277818881,0.6475187529492068,0.6937243110590476,2,1.9977721215653699,1.587879972988215,1.1874270686076298,1.8681638908063216,0.659583953847255,0.3095117977249272,163,209,True,0.001,0.0001,True,50,200,50,200,96,14,58.0,42.0,14,96,1.25,0.55,1.1,3.2,1.0,1.5,1.0
legacy_classic,2,0.0,-0.2409334637605892,0.0,-13.169644007844102,-0.13384485159943144,6.075949367088608,-21.95849289969927,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,1m,15m,1h,1h,legacy_classic,legacy_classic,False,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.2607866924771183,138,325,True,0.001,0.0001,True,53,164,41,81,49,28,72.11971125322772,43.77194498979024,27,107,0.7561730430342269,0.5195504630687392,2.0250540070888574,5.7921716738448605,2.689632350945485,1.774539487779036,1.4512308374056264
legacy_classic,2,0.0,-0.4696210391096264,0.0,-14.462846740138204,-0.27410208611795484,4.260355029585799,-30.011285339550092,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,3m,3m,1h,5m,legacy_classic,legacy_classic,True,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.789250986376289,161,342,True,0.001,0.0001,True,58,182,43,73,48,18,71.9680469455796,45.791638234029485,16,81,0.6810952330918625,0.8963081593234344,3.3567635023045845,1.8854405343054546,1.7149761582915344,1.0560863183330194,1.9972645470401864
legacy_classic,5,0.0,-1.828516826211899,0.0,-29.016607451579134,-1.504213318213976,10.572687224669604,-115.99401893150372,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,3m,5m,4h,1h,legacy_classic,legacy_classic,False,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.667992661543089,264,39,True,0.001,0.0001,True,33,238,35,222,99,19,74.87873391652236,41.24695144098634,21,135,0.7694058742155719,0.3409927364768237,1.7128310177981296,4.14738923305755,1.0752868314914426,1.61480432247077,0.5490854806189683
feature_prob,1,0.0,-0.5710502184953399,0.0,-4760.745382898336,0.0,1440.0,-24669.36943899868,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,1m,3m,1h,1h,feature_prob,feature_prob,False,0.06927446569520088,0.07440108066850651,0.330009414580008,0.15133991146481543,0.12871433605171265,0.20046246758687328,0.24609915937466012,0.09902707345218209,0.042294087272629365,0.6118997246572118,0.6104799383737849,4,2.2685224722283257,1.622101867651899,1.9108743300518458,2.938539253884953,0.6212253481540273,0.7553922295970644,171,142,True,0.001,0.0001,True,50,200,50,200,96,14,58.0,42.0,14,96,1.25,0.55,1.1,3.2,1.0,1.5,1.0
legacy_classic,2,0.0,-0.32278747657198503,0.0,-14.178541961948548,-0.17931690029934028,6.075949367088608,-29.418605459725217,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,1m,1m,1h,1h,legacy_classic,legacy_classic,False,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.3493855817052046,111,295,True,0.001,0.0001,True,53,174,47,62,35,28,73.63696941086654,43.36071792455631,27,107,0.821499680730984,0.48263292188971935,2.0250540070888574,5.8327382877452525,2.689632350945485,1.841080808384076,1.6094803673170868
legacy_classic,2,0.0,-0.2883504416755168,0.0,-13.760751447885628,-0.1601841929673947,6.088794926004228,-26.335600592774473,BTC/USDT:USDT,BTCUSDT,60,10,60,5m,1m,1m,1h,1h,legacy_classic,legacy_classic,False,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.31211583952074207,138,277,True,0.001,0.0001,True,63,169,41,81,65,28,72.11971125322772,41.26878957372695,28,107,0.7561730430342269,0.41800374706717014,2.0250540070888574,5.7921716738448605,3.0,1.774539487779036,1.6836760901883012
feature_prob,1,0.0,-0.7185795554816651,0.0,-5525.6849951724325,0.0,1440.0,-31042.636796807932,BTC/USDT:USDT,BTCUSDT,60,10,60,15m,5m,5m,4h,5m,feature_prob,feature_prob,False,0.06682738183531417,0.20490186931012075,0.12183500950542692,0.1323623259943566,0.22822739294824435,0.21460385405781676,0.04584357095956536,0.1713084894947552,0.08363645151361788,0.5306736809266787,0.6765126523737292,3,1.0746893596656064,3.2115255986294873,1.9996346594919843,2.6827205943242394,0.72374776117867,0.9505458451419752,212,294,True,0.001,0.0001,True,50,200,50,200,96,14,58.0,42.0,14,96,1.25,0.55,1.1,3.2,1.0,1.5,1.0
feature_prob,1,0.0,-0.35610871162690116,0.0,-3646.2736697854825,0.0,1440.0,-15383.89634228213,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,3m,15m,1h,5m,feature_prob,feature_prob,False,0.1038698485252689,0.2826028827353701,0.3413808421553507,0.02917582196558018,0.10229612341759803,0.1768753383114326,0.206741354977952,0.14964037673053168,0.14877320940309002,0.6961954174728073,0.7150290343010849,2,2.373798498368246,2.3706230621403703,1.0762530040707456,3.39966108972069,0.8541047406407625,0.47106496931841757,243,185,True,0.001,0.0001,True,50,200,50,200,96,14,58.0,42.0,14,96,1.25,0.55,1.1,3.2,1.0,1.5,1.0
